"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2021","160.93","162.17","162.55","160.45","48.60M","-0.14%"
"05/28/2021","161.15","162.10","162.40","160.99","46.63M","-0.22%"
"05/27/2021","161.51","162.80","163.02","161.50","51.22M","-1.07%"
"05/26/2021","163.26","163.73","164.79","162.93","47.68M","0.19%"
"05/25/2021","162.95","163.33","163.99","160.69","65.22M","0.43%"
"05/24/2021","162.25","160.78","162.90","160.52","48.46M","1.31%"
"05/21/2021","160.15","162.50","162.83","159.85","82.10M","-1.37%"
"05/20/2021","162.38","162.22","162.98","161.81","52.66M","0.49%"
"05/19/2021","161.59","159.75","161.74","159.20","53.59M","-0.01%"
"05/18/2021","161.61","164.63","165.60","161.52","56.57M","-1.17%"
"05/17/2021","163.52","162.30","164.64","161.73","74.48M","1.47%"
"05/14/2021","161.15","159.28","161.44","159.15","66.50M","1.95%"
"05/13/2021","158.07","159.27","160.19","156.65","67.14M","0.30%"
"05/12/2021","157.60","159.25","160.40","156.66","98.73M","-2.23%"
"05/11/2021","161.20","156.81","161.90","156.37","92.40M","1.05%"
"05/10/2021","159.52","164.12","164.15","159.50","116.77M","-3.07%"
"05/07/2021","164.58","165.95","166.54","164.45","94.21M","-0.45%"
"05/06/2021","165.32","163.50","165.72","162.36","88.95M","1.09%"
"05/05/2021","163.53","166.94","167.73","163.22","74.23M","-1.24%"
"05/04/2021","165.59","167.81","168.40","163.61","108.79M","-2.20%"
"05/03/2021","169.32","174.24","174.33","168.64","117.51M","-2.34%"
"04/30/2021","173.37","176.26","177.70","173.12","140.19M","-0.12%"
"04/29/2021","173.57","175.25","175.72","171.75","153.65M","0.37%"
"04/28/2021","172.93","171.74","174.49","171.25","92.64M","1.21%"
"04/27/2021","170.87","172.17","173.00","169.90","76.54M","0.25%"
"04/26/2021","170.45","167.40","171.42","166.55","97.61M","2.04%"
"04/23/2021","167.04","165.96","168.75","165.43","63.93M","0.96%"
"04/22/2021","165.45","168.58","168.64","165.07","51.61M","-1.58%"
"04/21/2021","168.10","165.80","168.14","165.19","44.22M","0.82%"
"04/20/2021","166.73","168.68","169.15","165.80","52.46M","-1.11%"
"04/19/2021","168.60","169.52","171.80","168.01","54.51M","-0.81%"
"04/16/2021","169.97","169.00","170.34","167.78","63.72M","0.60%"
"04/15/2021","168.95","168.55","169.85","167.60","64.67M","1.38%"
"04/14/2021","166.65","170.20","170.21","166.30","62.90M","-1.97%"
"04/13/2021","170.00","170.04","171.60","169.78","66.32M","0.61%"
"04/12/2021","168.97","167.76","169.75","167.56","65.64M","0.21%"
"04/09/2021","168.61","165.24","168.61","164.44","86.83M","2.21%"
"04/08/2021","164.97","165.54","166.22","164.60","56.24M","0.61%"
"04/07/2021","163.97","161.69","165.18","161.18","66.92M","1.72%"
"04/06/2021","161.19","161.19","162.37","160.85","50.76M","-0.09%"
"04/05/2021","161.34","158.65","161.80","158.06","66.70M","2.08%"
"04/01/2021","158.05","155.90","158.12","155.78","58.81M","2.17%"
"03/31/2021","154.70","153.20","155.97","153.12","61.88M","1.27%"
"03/30/2021","152.76","153.50","153.65","151.70","46.75M","-0.67%"
"03/29/2021","153.79","152.77","154.56","151.42","54.92M","0.78%"
"03/26/2021","152.60","152.20","152.83","149.80","66.26M","0.19%"
"03/25/2021","152.31","153.65","155.49","151.86","71.27M","-1.32%"
"03/24/2021","154.35","157.55","158.02","154.26","59.18M","-1.61%"
"03/23/2021","156.88","156.35","159.10","156.04","76.35M","0.86%"
"03/22/2021","155.54","153.39","156.33","153.00","58.04M","1.16%"
"03/19/2021","153.75","151.46","153.86","150.83","92.51M","1.55%"
"03/18/2021","151.40","155.05","155.83","151.25","73.14M","-3.44%"
"03/17/2021","156.79","153.66","158.65","153.51","62.37M","1.42%"
"03/16/2021","154.59","155.25","156.45","153.79","50.78M","0.33%"
"03/15/2021","154.08","153.73","154.11","151.60","58.37M","-0.25%"
"03/12/2021","154.47","153.75","154.95","152.28","48.44M","-0.78%"
"03/11/2021","155.68","155.20","156.59","154.15","55.53M","1.83%"
"03/10/2021","152.88","154.92","155.82","151.50","60.25M","-0.17%"
"03/09/2021","153.14","150.90","154.55","150.26","80.60M","3.75%"
"03/08/2021","147.60","150.75","153.23","147.57","83.70M","-1.61%"
"03/05/2021","150.02","150.25","150.45","144.05","107.77M","0.77%"
"03/04/2021","148.88","150.60","152.91","147.27","109.63M","-0.91%"
"03/03/2021","150.25","154.06","155.39","149.75","79.77M","-2.90%"
"03/02/2021","154.73","157.17","158.18","154.36","51.92M","-1.64%"
"03/01/2021","157.31","156.39","157.48","154.90","54.68M","1.72%"
"02/26/2021","154.65","154.76","156.12","151.84","85.52M","1.17%"
"02/25/2021","152.86","156.84","158.91","152.39","90.68M","-3.24%"
"02/24/2021","157.98","158.34","158.56","156.27","60.23M","-1.09%"
"02/23/2021","159.72","156.35","160.24","154.68","93.54M","0.43%"
"02/22/2021","159.04","160.41","161.62","158.61","70.31M","-2.13%"
"02/19/2021","162.50","166.41","166.68","162.29","86.10M","-2.35%"
"02/18/2021","166.41","164.12","166.90","163.70","60.67M","0.59%"
"02/17/2021","165.43","163.18","166.05","162.97","66.04M","1.21%"
"02/16/2021","163.45","162.70","165.41","162.68","51.49M","-0.27%"
"02/12/2021","163.89","162.50","164.01","161.67","46.71M","0.48%"
"02/11/2021","163.11","164.60","164.60","162.40","46.03M","-0.74%"
"02/10/2021","164.33","165.70","165.90","162.70","63.03M","-0.56%"
"02/09/2021","165.25","165.62","166.90","164.89","44.07M","-0.54%"
"02/08/2021","166.15","167.93","168.25","165.20","65.15M","-0.87%"
"02/05/2021","167.61","165.95","168.85","165.14","72.42M","0.64%"
"02/04/2021","166.55","166.50","167.35","163.89","73.41M","0.56%"
"02/03/2021","165.63","171.25","171.70","165.43","141.78M","-1.99%"
"02/02/2021","169.00","169.00","171.39","168.06","141.97M","1.11%"
"02/01/2021","167.14","162.12","167.51","161.75","83.20M","4.26%"
"01/29/2021","160.31","161.50","161.85","159.23","85.87M","-0.97%"
"01/28/2021","161.88","161.75","165.08","161.43","62.98M","0.15%"
"01/27/2021","161.63","167.07","167.33","160.35","93.20M","-2.81%"
"01/26/2021","166.31","164.82","166.90","164.14","59.10M","0.98%"
"01/25/2021","164.70","166.43","168.19","162.16","75.00M","0.05%"
"01/22/2021","164.61","165.22","166.10","164.16","56.44M","-0.45%"
"01/21/2021","165.35","164.65","167.43","164.48","98.90M","1.34%"
"01/20/2021","163.17","159.10","163.99","158.75","106.20M","4.57%"
"01/19/2021","156.04","155.35","157.25","154.80","66.10M","0.53%"
"01/15/2021","155.21","156.15","157.13","154.76","84.88M","-0.74%"
"01/14/2021","156.37","158.38","158.90","156.03","61.42M","-1.21%"
"01/13/2021","158.29","156.42","159.50","156.10","66.42M","1.44%"
"01/12/2021","156.04","156.00","157.11","154.30","70.29M","0.21%"
"01/11/2021","155.71","157.40","157.82","155.50","73.38M","-2.15%"
"01/08/2021","159.13","159.00","159.53","157.11","70.75M","0.65%"
"01/07/2021","158.11","157.85","160.43","157.75","70.29M","0.76%"
"01/06/2021","156.92","157.32","159.88","156.56","87.90M","-2.49%"
"01/05/2021","160.93","158.30","161.17","158.25","53.11M","1.00%"
"01/04/2021","159.33","163.50","163.60","157.20","88.23M","-2.16%"
"12/31/2020","162.85","163.75","164.15","162.06","59.14M","-0.88%"
"12/30/2020","164.29","167.05","167.10","164.12","64.19M","-1.09%"
"12/29/2020","166.10","165.50","167.53","164.06","97.46M","1.16%"
"12/28/2020","164.20","159.70","165.20","158.63","113.74M","3.51%"
"12/24/2020","158.63","159.69","160.10","158.45","29.04M","-0.40%"
"12/23/2020","159.26","160.25","160.51","159.21","41.88M","-0.67%"
"12/22/2020","160.33","160.14","161.10","159.00","47.64M","0.01%"
"12/21/2020","160.31","160.00","161.35","158.30","76.74M","0.14%"
"12/18/2020","160.08","162.20","162.47","158.58","119.91M","-1.06%"
"12/17/2020","161.80","162.50","163.18","161.05","69.49M","-0.15%"
"12/16/2020","162.05","158.80","162.35","158.18","88.55M","2.39%"
"12/15/2020","158.26","159.05","159.42","156.52","66.47M","0.26%"
"12/14/2020","157.85","157.15","159.52","156.30","83.12M","1.30%"
"12/11/2020","155.82","154.83","155.93","153.64","61.29M","0.48%"
"12/10/2020","155.07","154.45","157.10","153.80","60.60M","-0.09%"
"12/09/2020","155.21","158.39","158.72","154.40","82.02M","-2.30%"
"12/08/2020","158.86","157.94","159.21","156.00","65.73M","0.61%"
"12/07/2020","157.90","157.82","159.04","157.08","55.03M","-0.15%"
"12/04/2020","158.13","159.91","159.91","157.94","58.27M","-0.76%"
"12/03/2020","159.34","160.27","161.43","159.07","57.84M","-0.52%"
"12/02/2020","160.18","161.08","161.60","158.66","62.59M","-0.51%"
"12/01/2020","161.00","159.43","162.45","157.86","90.89M","1.64%"
"11/30/2020","158.40","160.42","161.42","156.28","81.28M","-0.86%"
"11/27/2020","159.77","160.56","160.81","159.50","47.86M","0.33%"
"11/25/2020","159.25","157.09","159.90","157.01","75.81M","2.15%"
"11/24/2020","155.90","155.03","156.71","154.31","72.04M","0.63%"
"11/23/2020","154.92","155.83","156.99","153.27","94.18M","-0.03%"
"11/20/2020","154.97","155.85","156.64","154.90","67.60M","-0.56%"
"11/19/2020","155.85","155.27","156.25","154.05","60.21M","0.37%"
"11/18/2020","155.27","156.70","157.00","155.25","58.34M","-0.96%"
"11/17/2020","156.78","159.18","159.46","156.76","68.89M","0.15%"
